1636046306.0,148907520.07857144,51564267.0,98,"set(['23994', '26948', '16474', '27888', '16277', '5079', '15286', '14984', '28053', '6472', '103147', '27767', '25772', '12177', '27963', '16281', '16282', '15394', '28025', '14998', '28086', '21665', '26413', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '15880', '16122', '16249', '103114', '16033', '16009', '27399', '26307', '16159', '28328', '103144', '34991', '16336', '11946', '15084', '103101', '16437', '27648', '26332', '25982', '27321', '27327', '27325', '103183', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '27329', '15548', '103133', '23924', '26770', '28302', '25990', '6460', '15492', '6054', '22885', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '26456', '27479', '27226', '28077', '26055', '14860', '103098', '21710', '22066', '6631', '6630', '27947', '11164', '6461', '6336', '16299', '28112'])"
2,0,0,2,2
1714530237.0,154420242.85,59909218.0,113,"set(['23994', '26948', '16474', '27888', '16277', '5079', '15286', '14982', '14984', '28053', '6472', '103147', '27767', '27416', '25772', '12177', '27963', '16281', '16282', '15394', '16571', '13603', '28025', '14998', '28086', '21665', '26413', '5423', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '15880', '16122', '103111', '16249', '103114', '16033', '16009', '27399', '26307', '16159', '28328', '103144', '34991', '25709', '16336', '11946', '15084', '103101', '15556', '16437', '46943', '27648', '27456', '26332', '25982', '27321', '27327', '27325', '103183', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '27329', '15548', '103133', '23924', '26770', '28302', '25990', '6460', '15497', '15492', '6054', '22885', '26960', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '5195', '27479', '27740', '27226', '28077', '26055', '14860', '103098', '21710', '16448', '22066', '6631', '6630', '27947', '11164', '6461', '26456', '6336', '16299', '28112'])"
2,0,0,2,3
1877890167.2500002,210729535.50257146,25102687.14285714,119,"set(['23994', '26948', '16474', '27888', '27740', '16277', '5079', '15286', '14982', '14984', '28053', '6472', '103147', '27767', '27416', '25772', '12177', '15548', '16281', '16282', '15394', '21670', '16571', '13603', '28025', '14998', '28086', '21665', '26413', '5423', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '15880', '16122', '103111', '16249', '103114', '16033', '16009', '27399', '26307', '16159', '28328', '103144', '34991', '25709', '16336', '11946', '15084', '103101', '6631', '15556', '16437', '46943', '15644', '27648', '27456', '26332', '25982', '27321', '27327', '27325', '11624', '103183', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '27329', '27963', '103133', '23924', '26770', '28302', '25990', '6460', '15497', '15492', '6054', '22885', '26960', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '5195', '27479', '5190', '27226', '14805', '28077', '26055', '14860', '103098', '21710', '16448', '22066', '16442', '6630', '27947', '11164', '6461', '26456', '6336', '16299', '28112'])"
2,0,0,2,4
2153111217.14,221645286.47057143,38437848.64285714,129,"set(['23994', '26948', '16474', '27888', '27740', '16277', '5079', '15286', '14982', '14984', '28053', '6472', '103147', '27767', '27416', '25772', '12177', '15548', '16281', '16282', '15394', '26837', '21670', '16571', '13603', '28025', '14998', '28086', '21665', '26413', '5423', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '15880', '16122', '103111', '16249', '103114', '16033', '16009', '27399', '26307', '16159', '28328', '103144', '34991', '103194', '25709', '16336', '11946', '15084', '9531', '103101', '6631', '15556', '16437', '46943', '15644', '27648', '27456', '26332', '25982', '27321', '27327', '27325', '11624', '103183', '26037', '103187', '16533', '16108', '21950', '16107', '103138', '15017', '103136', '27329', '27963', '103133', '23924', '26770', '28302', '25990', '6460', '15497', '15492', '6054', '22885', '26960', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '5195', '14881', '27479', '5190', '27226', '14805', '28077', '26055', '27939', '14860', '103098', '21710', '16448', '22066', '16442', '6630', '27947', '26890', '11164', '6461', '26456', '6336', '16299', '28112'])"
2,0,0,3,1
2276132647.595476,141924999.9322381,59253503.38095239,135,"set(['23994', '26948', '16474', '27888', '27740', '29192', '16277', '5079', '22885', '15286', '14982', '14984', '28053', '6472', '103147', '27767', '27416', '25772', '12177', '15548', '16281', '16282', '15394', '26837', '21670', '15359', '16571', '13603', '28025', '14998', '28086', '21665', '26413', '5423', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '16894', '15880', '16122', '103111', '16249', '103114', '16009', '27399', '5577', '26307', '16159', '28328', '103144', '34991', '103194', '25709', '16336', '11946', '15084', '9531', '103101', '6631', '15556', '16437', '46943', '15644', '27648', '27456', '26332', '25982', '27321', '27327', '27325', '11624', '103183', '26037', '103187', '16533', '16108', '21950', '15729', '26871', '16107', '103138', '15017', '103136', '27329', '27963', '103133', '23924', '26770', '28302', '25990', '6460', '15497', '15492', '6054', '16033', '26960', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '5195', '14881', '27479', '5190', '27226', '14805', '28077', '26055', '27939', '14860', '103098', '21710', '16448', '22066', '16442', '6630', '27947', '26890', '11164', '6461', '26456', '6336', '16299', '28112'])"
2,0,0,3,2
