19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,,,,,,20144,,20151,,,FundName,LPName,Last Date reported,3/31/2015,3/31/2015,,,,,,,,,,,,,,,,,
,,,,, '16009', '26770', '16122', '16122', '26397', '25772', '25772', '25982', '26600', '6336', '25772', '25772', '26928', '26413', '21665', '28086', '16571', '15394', '15394', '16281', '25772', '12177', '25772', '25772', '103147', '103147', '103147', '103147', '103147', '26079', '26079', '26079', '14984', '14982', '14982', '14982', '14828', '15282', '25744', '15859', '27407', '27837', '16679', '16679', '16677', '16677', '16677', '16677', '26837', '33746', '33746', '15394', '103268', '103268', '103268', '103267', '103267', '103264', '103263', '54501', '22530', '22530', '22530', '22530', '22530', '22530', '22530', '33921',,,,,,6444,0,7443,,,Lone Star Fund II,Houston Municipal Employees' Pension System,12/31/2009,21.28888889,,,,,,,,,,,,,,,,,9627,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627"
,,,,, '28302', '16009', '21710', '21710', '27327', '15820', '15820', '25772', '14984', '26600', '26600', '26600', '15349', '26928', '26413', '21665', '13603', '21670', '26837', '16282', '12177', '15548', '12177', '12177', '27767', '27767', '27767', '27767', '27767', '103147', '103147', '103147', '27686', '14984', '14984', '14984', '22328', '14828', '15859', '21669', '25744', '16571', '27837', '27837', '16679', '16679', '16679', '16679', '16677', '26837', '26837', '33746', '15394', '15394', '15394', '103268', '103268', '103267', '103264', '103263', '54501', '54501', '54501', '54501', '54501', '54501', '54501', '26837',,,,,,6460,0,7551,,,First Reserve Fund VIII,Houston Police Officer's Pension System,3/31/2011,16.23333333,,,,,,,,,,,,,,,,,10801,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801"
,,,,, '27399', '28302', '26770', '26770', '6460', '26397', '26397', '15820', '27648', '14984', '14984', '14984', '25680', '15349', '26928', '26413', '28025', '16571', '21670', '15394', '15548', '16281', '15548', '15548', '27416', '27416', '27416', '27416', '27416', '27767', '27767', '27767', '17310', '27686', '27686', '27686', '14982', '22328', '21669', '16499', '15859', '13603', '16571', '16571', '27837', '27837', '27837', '16773', '16679', '16677', '16677', '26837', '33746', '33746', '33746', '15394', '15394', '103268', '103267', '103264', '103263', '103263', '103263', '103263', '103263', '103263', '103263', '16677',,,,,,6461,0,7560,,,Madison Dearborn Capital Partners III,Houston Police Officer's Pension System,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,11164,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164"
,,,,, '6460', '27399', '16009', '16009', '28077', '27327', '27327', '26397', '16159', '27648', '27648', '27648', '23572', '25680', '15349', '26928', '14998', '13603', '16571', '26837', '16281', '16282', '16281', '16281', '25772', '25772', '25772', '25772', '8493', '27416', '27416', '27416', '26079', '15820', '15820', '15820', '14984', '14982', '16499', '21665', '21669', '27409', '13603', '13603', '16571', '16571', '16571', '27837', '16773', '16679', '16679', '16677', '33921', '33921', '33921', '33746', '33746', '15394', '103268', '103267', '103264', '103264', '103264', '103264', '103264', '103264', '103264', '16773',,,,,,6472,0,7812,,,TA Subordinated Debt Fund,Houston Police Officer's Pension System,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,11624,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624"
,,,,, '6461', '11164', '28302', '28302', '26037', '6460', '6460', '27327', '15349', '27474', '27474', '27474', '17413', '23572', '25680', '15349', '28086', '28025', '13603', '21670', '16282', '15394', '16282', '16282', '12177', '12177', '12177', '12177', '12177', '8493', '8493', '8493', '103147', '26079', '26079', '26079', '27686', '14984', '21665', '16251', '16499', '27407', '27409', '27409', '13603', '13603', '13603', '16571', '27837', '16773', '16773', '16679', '26837', '26837', '26837', '33921', '33921', '33746', '15394', '103268', '103267', '103267', '103267', '15548', '15548', '15548', '15548', '27883',,,,,,6497,1,7821,,,Three Cities Funds III,Houston Police Officer's Pension System,12/31/2014,1,,,,,,,,,,,,,,,,,11998,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998"
,,,,, '14998', '6461', '27399', '27399', '16533', '28077', '28077', '6460', '6472', '15349', '15349', '15349', '26600', '17413', '23572', '25680', '21665', '14998', '28025', '15359', '15394', '26837', '15394', '15394', '15548', '15548', '15548', '15548', '15548', '12177', '12177', '12177', '27767', '103147', '103147', '103147', '15820', '27686', '16251', '15104', '21665', '25744', '27407', '27407', '27409', '27409', '27409', '13603', '16571', '27837', '27837', '16773', '16677', '16677', '16677', '26837', '26837', '33921', '33746', '15394', '103268', '103268', '103268', '103267', '103267', '103267', '103267', '27837',,,,,,6630,0,7952,,,GTCR Capital Partners,Houston Police Officer's Pension System,9/30/2013,6.077777778,,,,,,,,,,,,,,,,,14810,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810"
,,,,, '16159', '14998', '11164', '11164', '16108', '26037', '26037', '16281', '27479', '6472', '6472', '6472', '15820', '26600', '17413', '23572', '26413', '28086', '14998', '16571', '26837', '21670', '26837', '26837', '16281', '16281', '16281', '16281', '16281', '15548', '15548', '15548', '27416', '27767', '27767', '27767', '26079', '15820', '15104', '16703', '16251', '15859', '25744', '25744', '27407', '27407', '27407', '27409', '13603', '16571', '16571', '27837', '16679', '16679', '16679', '16677', '16677', '26837', '33921', '33746', '15394', '15394', '15394', '103268', '103268', '103268', '103268', '110253',,,,,,6631,0,7953,,,KPS Special Situations Fund III Supplemental Fund,Indiana Public Retirement System,6/30/2014,3.044444444,,,,,,,,,,,,,,,,,14860,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860"
,,,,, '6336', '16159', '6461', '6461', '14860', '16533', '16533', '26037', '27321', '27479', '27479', '27479', '26397', '15820', '26600', '17413', '5423', '21665', '28086', '13603', '21670', '26770', '21670', '21670', '16282', '16282', '16282', '16282', '16282', '16281', '16281', '16281', '8493', '27416', '27416', '27416', '103147', '26079', '16703', '16894', '15104', '21669', '15859', '15859', '25744', '25744', '25744', '27407', '27409', '13603', '13603', '16571', '16773', '16773', '16773', '16679', '16679', '16677', '26837', '33921', '33746', '33746', '33746', '15394', '15394', '15394', '15394', '16571',,,,,,6707,1,8031,,,Littlejohn Fund V,Iowa Municipal Fire & Police Retirement System,12/31/2014,1,,,,,,,,,,,,,,,,,14982,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982"
,,,,, '28112', '6336', '14998', '14998', '103098', '16108', '16108', '16533', '25982', '27321', '27321', '27321', '15880', '26397', '15820', '26600', '26928', '26413', '21665', '28025', '26770', '15359', '26770', '26770', '15394', '15394', '15394', '15394', '8498', '16282', '16282', '16282', '12177', '8493', '8493', '8493', '11196', '103147', '16894', '5415', '16703', '16499', '21669', '21669', '15859', '15859', '15859', '25744', '27407', '27409', '27409', '13603', '27837', '27837', '27837', '16773', '16773', '16679', '16677', '26837', '33921', '33921', '33921', '33746', '33746', '33746', '33746', '13603',,,,,,6907,1,8113,,,CapitalSouth Partners Fund III,Kentucky Teachers' Retirement System,12/31/2014,1,,,,,,,,,,,,,,,,,14984,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984"
,,,,,, '28112', '16159', '16159', '16107', '14860', '14860', '16108', '25772', '25982', '25982', '25982', '16122', '15880', '26397', '15820', '15349', '5423', '26413', '14998', '15359', '16571', '27074', '27074', '26837', '26837', '28210', '28210', '28210', '8498', '8498', '8498', '15548', '12177', '12177', '12177', '27767', '23698', '5415', '28037', '16894', '21665', '16499', '16499', '21669', '21669', '21669', '15859', '25744', '103389', '103389', '27409', '16571', '16571', '16571', '27837', '27837', '16773', '16679', '16677', '26837', '26837', '26837', '33921', '33921', '33921', '110955', '45939',,,,,,6909,1,8184,,,Spectrum Equity Investors V,Los Angeles County Employees' Retirement Association,12/31/2014,1,,,,,,,,,,,,,,,,,14998,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998"
