Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
9/30/2008,2008,3,20083,38,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,500324,1417500,1334418,170,0.84375,1500000
6/30/2008,2008,2,20082,37,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,600774,1417500,1288573,170,0.84375,1500000
3/31/2008,2008,1,20081,36,9,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,537198,1417500,1265258,170,0.84375,1500000
12/31/2007,2007,4,20074,35,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,479778,1417500,1265258,170,0.84375,1500000
9/30/2007,2007,3,20073,34,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,360293,1417500,1265258,170,0.84375,1500000
6/30/2007,2007,2,20072,33,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,467531,1417500,1037261,170,0.84375,1500000
3/31/2007,2007,1,20071,32,8,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,544232,1402500,888448,170,0.84375,1500000
12/31/2006,2006,4,20064,31,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,589645,1402500,849899,170,0.84375,1500000
9/30/2006,2006,3,20063,30,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,475040,1372500,761597,170,0.84375,1500000
6/30/2006,2006,2,20062,29,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,465725,1357500,761597,170,0.84375,1500000
3/31/2006,2006,1,20061,28,7,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,568471,1320000,590796,170,0.84375,1500000
12/31/2005,2005,4,20054,27,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,509912,1230000,561960,170,0.84375,1500000
9/30/2005,2005,3,20053,26,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,557221,1230000,502638,170,0.84375,1500000
6/30/2005,2005,2,20052,25,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,660961,1230000,357539,170,0.84375,1500000
3/31/2005,2005,1,20051,24,6,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,588845,1215000,357539,170,0.84375,1500000
12/31/2004,2004,4,20044,23,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,734053,1215000,272915,170,0.84375,1500000
9/30/2004,2004,3,20043,22,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,764642,1215000,187025,170,0.84375,1500000
6/30/2004,2004,2,20042,21,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,563759,1125000,187025,170,0.84375,1500000
3/31/2004,2004,1,20041,20,5,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,474027,1031587,184391,170,0.84375,1500000
12/31/2003,2003,4,20034,19,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,392026,942855,184391,170,0.84375,1500000
9/30/2003,2003,3,20033,18,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,451448,942855,129834,170,0.84375,1500000
6/30/2003,2003,2,20032,17,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,431627,942855,129834,170,0.84375,1500000
3/31/2003,2003,1,20031,16,4,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,462103,883700,129834,170,0.84375,1500000
12/31/2002,2002,4,20024,15,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,421408.86,920671.64,129834,170,0.84375,1500000
6/30/2002,2002,2,20022,13,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,462103,883700,129834,170,0.84375,1500000
3/31/2002,2002,1,20021,12,3,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,473026,839334,58091,170,0.84375,1500000
12/31/2001,2001,4,20014,11,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,430920,765371,58091,170,0.84375,1500000
9/30/2001,2001,3,20013,10,2,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,440163,765172,43104,170,0.84375,1500000
12/31/2000,2000,4,20004,7,1,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,659419,676439,0,170,0.84375,1500000
12/31/1999,1999,4,19994,3,0,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,11994,California Public Employees Retirement System,103103,135630,155733,0,170,0.84375,1500000
12/31/2014,2014,4,20144,63,15,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,276678,5422717,9285298,170,0.857142857,5600000
6/30/2014,2014,2,20142,61,15,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,272720,5422717,9285298,170,0.857142857,5600000
3/31/2014,2014,1,20141,60,15,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,823932,5422717,8734086,170,0.857142857,5600000
12/31/2013,2013,4,20134,59,14,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,731707,5422717,8734086,170,0.857142857,5600000
