Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
12/31/2012,2012,4,20124,41,10,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,16465723,135871881,246504136,4943.986876,1,129184057
9/30/2012,2012,3,20123,40,10,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,16579184,135871881,246504136,4943.986876,1,128909583
6/30/2012,2012,2,20122,39,10,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,15768716,135871881,246504136,4943.986876,1,128759440
3/31/2012,2012,1,20121,38,10,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,25603873,135871881,237621609,4943.986876,1,129298493
12/31/2011,2011,4,20114,37,9,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,22728065,135871881,237621609,4943.986876,1,129009822
9/30/2011,2011,3,20113,36,9,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,30468855,135871881,232287237,4943.986876,1,129384536
6/30/2011,2011,2,20112,35,9,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,44302941,135871881,223950649,4943.986876,1,130315081
3/31/2011,2011,1,20111,34,9,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,51193949,135871881,215092730,4943.986876,1,130050501
12/31/2010,2010,4,20104,33,8,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,54144848,135057639,212028268,4943.986876,1,129348802
9/30/2010,2010,3,20103,32,8,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,54955176,135057639,204636888,4943.986876,1,129566038
6/30/2010,2010,2,20102,31,8,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,45774862,135057826,204637309,4943.986876,1,95775904
3/31/2010,2010,1,20101,30,8,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,56835393,134507549,198196830,4943.986876,1,95775904
12/31/2009,2009,4,20094,29,7,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,55585368,132028738,196915146,4943.986876,1,95775904
9/30/2009,2009,3,20093,28,7,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,43947783,132028738,196915146,4943.986876,1,95775904
6/30/2009,2009,2,20092,27,7,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,36242726,131143082,196412786,4943.986876,1,95775904
3/31/2009,2009,1,20091,26,7,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,34305787,131143082,196412786,4943.986876,1,95775904
12/31/2008,2008,4,20084,25,6,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,40639995,131143082,196412786,4943.986876,1,95775904
9/30/2008,2008,3,20083,24,6,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,58910789,131143082,196412786,4943.986876,1,95775904
6/30/2008,2008,2,20082,23,6,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,74157420,129097643,196412786,4943.986876,1,95775904
3/31/2008,2008,1,20081,22,6,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,91960525,129097643,193218641,4943.986876,1,95775904
12/31/2007,2007,4,20074,21,5,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,108313938,129097643,181962932,4943.986876,1,95775904
9/30/2007,2007,3,20073,20,5,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,91107910,123004091,175159092,4943.986876,1,95775904
6/30/2007,2007,2,20072,19,5,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,106231814,123004091,160309215,4943.986876,1,95775904
3/31/2007,2007,1,20071,18,5,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,109125996,123004091,147377280,4943.986876,1,95775904
12/31/2006,2006,4,20064,17,4,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,109734955,123004091,127565086,4943.986876,1,95775904
9/30/2006,2006,3,20063,16,4,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,92844248,123004091,121974183,4943.986876,1,95775904
6/30/2006,2006,2,20062,15,4,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,99292788,123004091,106127926,4943.986876,1,95775904
3/31/2006,2006,1,20061,14,4,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,94296524,123004091,106127926,4943.986876,1,95775904
12/31/2005,2005,4,20054,13,3,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,80352380,106443277,94867122,4943.986876,1,95775904
9/30/2005,2005,3,20053,12,3,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,64684313,94697436,81034106,4943.986876,1,95775904
6/30/2005,2005,2,20052,11,3,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,80991464,87230801,46354291,4943.986876,1,95775904
3/31/2005,2005,1,20051,10,3,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,79639979,83680938,40406678,4943.986876,1,95775904
12/31/2004,2004,4,20044,9,2,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,77122661,73416083,34910722,4943.986876,1,95775904
9/30/2004,2004,3,20043,8,2,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,42000009,50773842,32864537,4943.986876,1,95775904
6/30/2004,2004,2,20042,7,2,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,44554235,50082486,24051273,4943.986876,1,95775904
3/31/2004,2004,1,20041,6,2,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,61446607,47829423,4031697,4943.986876,1,95775904
12/31/2003,2003,4,20034,5,1,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,58284116,46663469,4031697,4943.986876,1,95775904
9/30/2003,2003,3,20033,4,1,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,51673032,48182216,13866,4943.986876,1,95775904
6/30/2003,2003,2,20032,3,1,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,39524115,36573676,13866,4943.986876,1,95775904
3/31/2003,2003,1,20031,2,1,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,29723458,28500064,13866,4943.986876,1,95775904
12/31/2002,2002,4,20024,1,0,10706,Third Cinven Fund,Buyout,Cinven,7/1/2002,2002,3,Europe,17991,Washington State Investment Board,15301,24392205,23460617,13866,4943.986876,1,95775904
3/31/2015,2015,1,20151,35,9,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,19250429,40680228,63012269,1235.996719,0.885714286,40637694
12/31/2014,2014,4,20144,34,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,19630766,41347368,63012269,1235.996719,0.885714286,40632306
9/30/2014,2014,3,20143,33,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,18315634,41208182,63012269,1235.996719,0.885714286,40628775
6/30/2014,2014,2,20142,32,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,22007289,40351734,61032366,1235.996719,0.885714286,40643154
3/31/2014,2014,1,20141,31,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,21451741,40095432,61032366,1235.996719,0.885714286,40644859
12/31/2013,2013,4,20134,30,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,18527850,39088428,61032366,1235.996719,0.885714286,40647600
