Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
12/31/2012,2012,4,20124,37,9,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5080741,9634000,3522980,350,0.97826087,10000000
9/30/2012,2012,3,20123,36,9,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5330309,9510000,3522980,350,0.97826087,10000000
6/30/2012,2012,2,20122,35,9,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5010898,9510000,3522980,350,0.97826087,10000000
3/31/2012,2012,1,20121,34,9,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5011337,9200000,3381093,350,0.97826087,10000000
12/31/2011,2011,4,20114,33,8,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,4983889,9200000,3381093,350,0.97826087,10000000
9/30/2011,2011,3,20113,32,8,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5168018,9120000,3196439,350,0.97826087,10000000
6/30/2011,2011,2,20112,31,8,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6716091,9120000,2946566,350,0.97826087,10000000
3/31/2011,2011,1,20111,30,8,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,7300706,9070000,2281708,350,0.97826087,10000000
12/31/2010,2010,4,20104,29,7,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,7008614,9020000,2281708,350,0.97826087,10000000
9/30/2010,2010,3,20103,28,7,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,7195698,8890000,2281708,350,0.97826087,10000000
6/30/2010,2010,2,20102,27,7,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6580809,8720000,2223917,350,0.97826087,10000000
12/31/2009,2009,4,20094,25,6,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,7690602,8350000,1352029,350,0.97826087,10000000
6/30/2009,2009,2,20092,23,6,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6569864,8580000,973231,350,0.97826087,10000000
3/31/2009,2009,1,20091,22,6,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5705720,8450000,973231,350,0.97826087,10000000
12/31/2008,2008,4,20084,21,5,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5885535,8250000,973231,350,0.97826087,10000000
9/30/2008,2008,3,20083,20,5,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6380839,8000000,973231,350,0.97826087,10000000
6/30/2008,2008,2,20082,19,5,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6572316,7850000,973232,350,0.97826087,10000000
3/31/2008,2008,1,20081,18,5,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6882873,7500000,746173,350,0.97826087,10000000
12/31/2007,2007,4,20074,17,4,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6708521,7200000,746173,350,0.97826087,10000000
9/30/2007,2007,3,20073,16,4,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,6273348,6720000,746174,350,0.97826087,10000000
6/30/2007,2007,2,20072,15,4,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5648282,5950000,678691,350,0.97826087,10000000
3/31/2007,2007,1,20071,14,4,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5949882,5800000,678690,350,0.97826087,10000000
12/31/2006,2006,4,20064,13,3,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5337291,5350000,678691,350,0.97826087,10000000
9/30/2006,2006,3,20063,12,3,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,5038298,5950000,0,350,0.97826087,10000000
6/30/2006,2006,2,20062,11,3,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,4172552,5100000,0,350,0.97826087,10000000
3/31/2006,2006,1,20061,10,3,11294,Abingworth Bioventures IV,Venture Capital,Abingworth Management,7/31/2003,2003,3,Europe,11994,California Public Employees Retirement System,103193,3663106,4300000,0,350,0.97826087,10000000
